"VARIANT_NAME","DATA_BASE","DATA_BASE_REC_ID","GENDER","TISSUE","HEALTH_STATE","SAMPLE_SOURCE","AGE_MIN","AGE_MAX","SAMPLE_COUNT","TOTAL_COUNT","RATIO","NORM_VALUE","UNIT"
Hs.654391,E-GEOD-2361,TP_Corpus_U133A,UNSPECIFIED,BRAIN,UNSPECIFIED,UNSPECIFIED,19,76,79.2,2025590.6622,3.90997063118274E-05,1.76350128894329,Array
Hs.654391,E-GEOD-2361,TP_FetalBrain_U133A,UNSPECIFIED,FETAL BRAIN,UNSPECIFIED,UNSPECIFIED,0.38,0.63,56.8,2305473.22180001,2.46370243917442E-05,1.11119566791799,Array
Hs.654391,E-GEOD-2361,TP_FetalLiver_U133A,UNSPECIFIED,FETAL LIVER,UNSPECIFIED,UNSPECIFIED,-0.75,0,273.5,2515373.47580001,0.000108731368375829,4.90407541044215,Array
Hs.654391,E-GEOD-2361,TP_FetalLung_U133A,FEMALE,FETAL LUNG,UNSPECIFIED,UNSPECIFIED,-0.75,0,56.9,2230804.24160001,2.55064962397549E-05,1.15041117282328,Array
Hs.654391,E-GEOD-2361,TP_Heart_U133A,MALE,HEART,UNSPECIFIED,UNSPECIFIED,56,56,50.2,2169292.98089999,2.3141180302521E-05,1.04372910030837,Array
Hs.654391,E-GEOD-2361,TP_Intestine_U133A,MALE,SMALL INTESTINE,UNSPECIFIED,UNSPECIFIED,85,85,585.6,2274844.61459999,0.000257424175805947,11.6105185603819,Array
Hs.654391,E-GEOD-2361,TP_Kidney_U133A,MALE,KIDNEY,UNSPECIFIED,UNSPECIFIED,66,66,49.9,2124886.8428,2.34836034535589E-05,1.05917329989911,Array
Hs.654391,E-GEOD-2361,TP_Liver_U133A,MALE,LIVER,UNSPECIFIED,UNSPECIFIED,66,66,2901.6,2461552.1393,0.00117876845006628,53.1656085720717,Array
Hs.654391,E-GEOD-2361,TP_Lung_U133A,MALE,LUNG,UNSPECIFIED,UNSPECIFIED,70,70,48.8,2241770.78000001,2.17685056988743E-05,0.981817805795688,Array
Hs.654391,E-GEOD-2361,TP_Ovary_U133A,FEMALE,GONADS,UNSPECIFIED,UNSPECIFIED,47,47,43.4,2294419.44420001,1.89154603399607E-05,0.85313783240326,Array
Hs.654391,E-GEOD-2361,TP_Pancreas_U133A,FEMALE,PANCREAS,UNSPECIFIED,UNSPECIFIED,68,68,30.4,2596016.47130002,1.17102492746421E-05,0.528163550001699,Array
Hs.654391,E-GEOD-2361,TP_Pituitary_U133A,UNSPECIFIED,PITUTARY GLAND,UNSPECIFIED,UNSPECIFIED,18,52,39.1,2190010.26869999,1.78537975637941E-05,0.805254002809722,Array
Hs.654391,E-GEOD-2361,TP_Placenta_U133A,FEMALE,PLACENTA,UNSPECIFIED,UNSPECIFIED,30,30,40.5,2216395.00999999,1.82729160719416E-05,0.82415736805353,Array
Hs.654391,E-GEOD-2361,TP_Prostate_U133A,MALE,PROSTATE,UNSPECIFIED,UNSPECIFIED,26,26,37.5,2179131.42239999,1.72086913228479E-05,0.776157986631467,Array
Hs.654391,E-GEOD-2361,TP_S_Muscle_U133A,FEMALE,MUSCLE,UNSPECIFIED,UNSPECIFIED,44,44,46.4,2296974.45529999,2.02004858577933E-05,0.911095918813166,Array
Hs.654391,E-GEOD-2361,TP_Salivary_U133A,UNSPECIFIED,SALIVARY GLAND,UNSPECIFIED,UNSPECIFIED,15,60,74.9,2804971.7336,2.67025863764662E-05,1.2043580357731,Array
Hs.654391,E-GEOD-2361,TP_Skin_U133A,MALE,SKIN,UNSPECIFIED,UNSPECIFIED,18,19,57.5,2255909.20319999,2.54886144878689E-05,1.1496046580058,Array
Hs.654391,E-GEOD-2361,TP_SpinalCord_U133A,UNSPECIFIED,SPINAL CORD,UNSPECIFIED,UNSPECIFIED,15,66,54.7,2033768.088,2.6895888632903E-05,1.21307648433799,Array
Hs.654391,E-GEOD-2361,TP_Spleen_U133A,MALE,SPLEEN,UNSPECIFIED,UNSPECIFIED,25,25,51.3,2280609.77649999,2.24939840776835E-05,1.01453882026897,Array
